Date,R(PETR4.SA),R(VALE3.SA),R(ITUB4.SA),R(BBDC4.SA),R(ABEV3.SA),R(RADL3.SA),R(CMIG4.SA),R(JBSS3.SA),R(ITSA4.SA),R(WEGE3.SA),R(LREN3.SA),R(EMBR3.SA),R(ELET3.SA),R(CPLE6.SA),R(SUZB3.SA),R(^BVSP),Selic
10/01/15,"6,29%","2,85%","-0,15%","-1,98%","-1,71%","2,25%","2,40%","-16,46%","0,84%","-7,04%","0,54%","10,35%","-4,48%","-0,43%","0,00%","1,78%","14,25%"
11/01/15,"-0,52%","-25,88%","4,87%","0,57%","-2,39%","-0,85%","-8,14%","-13,74%","0,69%","5,41%","-5,56%","7,23%","14,27%","-12,43%","0,00%","-1,65%","14,25%"
12/01/15,"-13,52%","-1,07%","-5,40%","-9,12%","-4,33%","-11,11%","-7,39%","-0,57%","-5,24%","-1,66%","-2,31%","-0,69%","-0,52%","-16,64%","0,00%","-4,00%","14,25%"
01/01/16,"-32,52%","-29,31%","-5,38%","-6,04%","4,44%","15,62%","-3,65%","-13,41%","0,00%","3,35%","3,67%","-4,85%","1,04%","-9,72%","0,00%","-7,03%","14,25%"
02/01/16,"6,01%","19,48%","1,79%","16,19%","-5,62%","10,36%","-0,68%","5,41%","-0,88%","-15,88%","1,45%","4,89%","-2,43%","4,78%","0,00%","5,74%","14,25%"
03/01/16,"48,04%","24,91%","20,60%","23,75%","6,37%","12,58%","32,08%","-4,58%","18,06%","6,32%","14,41%","-23,61%","15,47%","21,26%","0,00%","15,67%","14,25%"
04/01/16,"20,79%","26,21%","5,18%","5,15%","3,09%","5,34%","-16,64%","-18,62%","5,82%","7,74%","-0,10%","-14,80%","16,12%","-1,05%","0,00%","7,42%","14,25%"
05/01/16,"-24,09%","-32,55%","-12,35%","-12,75%","-1,45%","4,79%","-19,61%","10,09%","-9,77%","-5,34%","0,62%","-9,00%","2,66%","-17,86%","0,00%","-10,63%","14,25%"
06/01/16,"15,84%","13,47%","4,21%","9,93%","-0,31%","8,94%","25,70%","0,00%","6,11%","-4,62%","12,53%","-7,17%","47,31%","21,02%","0,00%","6,11%","14,25%"
07/01/16,"23,12%","12,84%","10,90%","11,89%","-1,32%","4,85%","22,20%","8,62%","9,66%","10,56%","14,04%","-16,55%","31,70%","9,56%","0,00%","10,63%","14,25%"
08/01/16,"7,93%","-8,81%","5,92%","2,44%","2,05%","-10,49%","-3,81%","13,70%","2,83%","7,93%","-6,17%","-3,43%","24,52%","2,49%","0,00%","1,03%","14,25%"
09/01/16,"5,45%","5,01%","-0,92%","2,08%","3,23%","10,49%","-1,96%","-5,59%","-3,07%","6,61%","-4,63%","-2,26%","-15,68%","2,01%","0,00%","0,80%","14,25%"
10/01/16,"26,51%","21,49%","17,33%","11,96%","-5,12%","6,68%","12,78%","-19,66%","12,39%","-0,34%","9,84%","20,22%","20,74%","8,33%","0,00%","10,65%","14,00%"
11/01/16,"-10,04%","23,97%","-8,08%","-11,69%","-9,35%","-9,42%","-21,04%","0,51%","-9,20%","-12,26%","-18,32%","-3,44%","7,91%","-23,31%","0,00%","-4,76%","14,00%"
12/01/16,"-7,32%","-8,86%","-4,53%","-2,55%","-4,47%","-5,25%","-2,43%","15,53%","-3,91%","-0,45%","3,02%","-3,50%","-11,73%","-5,65%","0,00%","-2,75%","13,75%"
01/01/17,"1,00%","22,56%","9,54%","12,01%","4,76%","6,81%","17,01%","4,29%","11,40%","2,61%","3,02%","11,78%","-9,08%","16,13%","0,00%","7,12%","13,00%"
02/01/17,"1,06%","1,66%","7,22%","2,18%","3,65%","-9,78%","15,66%","-1,69%","8,53%","6,51%","6,76%","-0,39%","3,12%","4,71%","0,00%","3,03%","12,25%"
03/01/17,"-4,65%","-9,38%","-5,47%","-3,16%","2,22%","-1,24%","-3,52%","-13,62%","-5,53%","2,44%","8,44%","-3,06%","-22,85%","-2,89%","0,00%","-2,55%","12,25%"
04/01/17,"-3,65%","-8,11%","3,53%","3,13%","0,11%","13,95%","-15,03%","0,59%","4,02%","1,71%","6,21%","-12,41%","5,46%","-11,55%","0,00%","0,64%","11,25%"
05/01/17,"-7,50%","-1,10%","-9,93%","-9,86%","2,43%","6,53%","-15,04%","-24,11%","-9,99%","7,09%","-1,96%","4,14%","-27,27%","-4,63%","0,00%","-4,20%","11,25%"
06/01/17,"-4,66%","6,52%","3,32%","2,26%","-2,16%","-2,66%","5,60%","-21,17%","0,78%","-7,09%","3,76%","-5,65%","-9,93%","-12,69%","0,00%","0,30%","10,25%"
07/01/17,"7,17%","7,63%","1,54%","7,00%","4,49%","-1,60%","5,30%","16,48%","2,52%","6,77%","6,78%","4,14%","8,10%","5,47%","0,00%","4,69%","9,25%"
08/01/17,"2,67%","11,40%","7,81%","10,64%","3,64%","0,51%","-1,66%","11,86%","9,78%","7,72%","4,34%","12,84%","26,63%","10,37%","0,00%","7,19%","9,25%"
09/01/17,"11,41%","-9,60%","7,17%","4,28%","5,77%","7,83%","-4,89%","-1,98%","7,82%","4,49%","16,42%","-0,22%","11,46%","-1,79%","0,00%","4,77%","8,25%"
10/01/17,"9,17%","0,72%","-3,04%","-1,06%","-0,67%","4,19%","-0,07%","-11,98%","-5,12%","-0,56%","-4,48%","-13,25%","10,97%","-12,19%","0,00%","0,02%","7,50%"
11/01/17,"-8,65%","9,05%","-1,87%","-6,03%","-1,64%","11,79%","-15,80%","4,79%","-0,96%","7,25%","-1,61%","-0,13%","-16,32%","-7,99%","-13,35%","-3,20%","7,50%"
12/01/17,"4,58%","13,60%","3,12%","3,61%","3,44%","4,23%","4,01%","21,53%","4,15%","5,24%","4,50%","24,53%","3,20%","7,83%","6,52%","5,97%","7,00%"
01/01/18,"20,18%","2,91%","20,48%","18,55%","3,10%","-8,37%","8,77%","2,42%","20,26%","-1,72%","6,46%","0,10%","4,99%","-1,78%","10,02%","10,56%","7,00%"
02/01/18,"8,56%","8,33%","-3,66%","-4,98%","0,23%","-8,26%","9,04%","-1,40%","-0,99%","-1,23%","-9,24%","8,33%","19,75%","3,37%","5,14%","0,67%","6,75%"
03/01/18,"-0,23%","-6,51%","1,83%","1,87%","8,99%","-3,86%","4,17%","-5,82%","4,98%","-3,48%","-0,49%","-0,97%","-16,51%","2,84%","42,77%","-0,13%","6,50%"
04/01/18,"7,03%","14,24%","-0,59%","-3,80%","-3,12%","-8,39%","-1,18%","-6,63%","-1,31%","2,20%","-5,20%","2,70%","-9,64%","2,69%","20,77%","0,87%","6,50%"
05/01/18,"-19,08%","3,95%","-17,13%","-16,98%","-16,96%","-9,94%","-9,80%","2,04%","-19,22%","-3,43%","-9,45%","1,57%","-26,50%","-13,10%","4,85%","-11,51%","6,50%"
06/01/18,"-9,91%","-2,08%","-6,34%","-8,10%","-9,09%","6,42%","-4,94%","4,06%","-10,63%","-5,57%","-1,02%","7,58%","-18,25%","-6,96%","4,25%","-5,34%","6,50%"
07/01/18,"13,73%","10,06%","10,93%","12,66%","7,65%","11,32%","11,99%","-3,06%","12,67%","13,02%","5,01%","-23,13%","34,84%","-6,70%","-0,94%","8,50%","6,50%"
08/01/18,"-2,36%","-2,25%","-6,26%","-7,30%","-2,93%","3,49%","-9,82%","4,13%","-8,30%","3,35%","-8,80%","1,80%","-8,77%","-0,54%","6,01%","-3,26%","6,50%"
09/01/18,"9,08%","10,94%","4,31%","1,02%","-2,74%","-6,12%","-4,10%","-0,21%","5,18%","3,14%","9,18%","1,17%","-1,98%","4,88%","1,61%","3,42%","6,50%"
10/01/18,"26,97%","-5,34%","10,98%","17,93%","-11,55%","-14,23%","43,21%","8,87%","10,69%","-9,28%","19,30%","5,40%","41,55%","20,30%","-23,92%","9,70%","6,50%"
11/01/18,"-8,14%","-7,14%","9,26%","11,45%","3,49%","-1,10%","14,18%","13,83%","9,34%","-1,01%","3,91%","4,07%","3,88%","21,43%","7,73%","2,35%","6,50%"
12/01/18,"-11,56%","-3,47%","-1,45%","0,49%","-9,54%","-8,35%","8,66%","-1,54%","-2,13%","-1,58%","8,10%","-0,55%","-0,82%","-6,19%","-7,12%","-1,82%","6,50%"
01/01/19,"12,03%","-11,41%","8,84%","15,79%","12,97%","8,15%","-0,07%","26,39%","11,11%","7,15%","7,06%","-11,42%","43,41%","14,48%","18,90%","10,27%","6,50%"
02/01/19,"5,62%","3,46%","-9,60%","-4,50%","-1,61%","5,35%","3,89%","-11,65%","-8,74%","-2,25%","-5,00%","-1,35%","-1,13%","1,21%","3,55%","-1,88%","6,50%"
03/01/19,"3,63%","7,82%","-2,30%","-0,77%","-2,35%","-0,17%","-3,53%","17,01%","-3,20%","-2,31%","1,19%","-3,36%","-0,79%","1,83%","-2,36%","-0,18%","6,50%"
04/01/19,"-3,44%","-1,64%","-1,76%","-0,57%","9,30%","5,71%","5,87%","21,66%","-0,59%","3,17%","6,80%","6,25%","-11,51%","12,39%","-13,36%","0,98%","6,50%"
05/01/19,"-5,93%","-2,22%","3,40%","3,91%","-5,11%","0,40%","0,14%","10,05%","3,95%","2,50%","3,28%","-3,58%","5,10%","15,28%","-23,87%","0,70%","6,50%"
06/01/19,"7,03%","5,60%","3,54%","1,98%","1,92%","9,19%","0,61%","-2,97%","3,96%","11,45%","6,84%","2,40%","2,41%","1,24%","2,37%","3,98%","6,50%"
07/01/19,"-4,97%","-3,96%","-4,05%","-8,98%","11,80%","8,69%","-4,90%","15,99%","-3,31%","10,90%","0,63%","-0,52%","11,10%","1,13%","-6,87%","0,83%","6,50%"
08/01/19,"-2,25%","-8,90%","-2,56%","-4,60%","-7,26%","10,33%","4,29%","17,43%","-1,45%","-5,70%","6,31%","-7,30%","15,38%","5,83%","-5,32%","-0,67%","6,00%"
09/01/19,"7,73%","4,67%","3,16%","2,90%","2,79%","4,01%","-2,96%","10,10%","6,99%","7,41%","-0,16%","-0,22%","-13,47%","-4,90%","14,60%","3,51%","5,50%"
10/01/19,"9,81%","-1,16%","3,37%","3,62%","-10,22%","13,81%","-4,86%","-14,76%","3,94%","5,11%","0,55%","-2,14%","-1,48%","11,52%","-3,05%","2,34%","5,00%"
11/01/19,"-4,17%","5,72%","-4,03%","-5,25%","3,78%","2,68%","-4,50%","0,67%","-3,26%","17,64%","2,05%","2,65%","-12,70%","12,77%","16,67%","0,94%","5,00%"
12/01/19,"3,47%","6,43%","6,40%","8,06%","3,38%","-1,20%","5,52%","-9,88%","6,00%","13,05%","8,13%","9,18%","8,18%","8,80%","2,86%","6,62%","4,50%"
01/01/20,"-5,90%","-5,85%","-12,26%","-9,51%","-4,49%","10,68%","8,08%","6,67%","-9,13%","12,84%","2,22%","-8,40%","3,69%","6,11%","-0,03%","-1,64%","4,50%"
02/01/20,"-11,58%","-12,62%","-2,53%","-7,45%","-20,51%","-3,54%","-6,85%","-19,47%","-6,84%","9,07%","-7,50%","-6,73%","-12,74%","-2,36%","-3,93%","-8,81%","4,25%"
03/01/20,"-59,40%","-2,49%","-32,63%","-38,52%","-19,87%","-16,32%","-44,90%","-10,98%","-31,44%","-25,10%","-46,26%","-57,54%","-36,96%","-29,29%","-6,36%","-35,53%","3,75%"
04/01/20,"25,48%","3,72%","-1,40%","1,41%","-4,99%","2,84%","6,62%","15,88%","2,59%","17,37%","13,45%","-9,79%","1,62%","1,67%","9,64%","9,76%","3,75%"
05/01/20,"11,94%","16,67%","1,18%","-1,05%","9,58%","4,35%","12,62%","-8,17%","-1,57%","4,62%","0,42%","-19,04%","14,27%","15,15%","-4,01%","8,22%","3,00%"
06/01/20,"5,78%","5,36%","9,95%","8,83%","12,49%","1,07%","2,02%","-3,80%","7,92%","19,05%","8,09%","12,35%","10,29%","-4,00%","-2,87%","8,39%","2,25%"
07/01/20,"2,97%","8,22%","5,50%","8,07%","-1,71%","11,50%","8,52%","1,83%","10,67%","28,58%","-1,62%","-6,12%","17,53%","8,75%","13,24%","7,94%","2,25%"
08/01/20,"-1,41%","-1,71%","-13,26%","-7,88%","-12,15%","-14,08%","-9,04%","4,09%","-12,35%","-4,14%","5,53%","-3,61%","-3,95%","-7,18%","17,83%","-3,50%","2,00%"
09/01/20,"-11,00%","-0,96%","-4,56%","-6,63%","1,85%","8,28%","-4,17%","-8,22%","-6,91%","1,66%","-9,20%","-16,24%","-15,80%","0,37%","-9,72%","-4,92%","2,00%"
10/01/20,"-3,48%","2,41%","4,26%","3,79%","-2,91%","2,70%","1,47%","-6,08%","3,24%","14,34%","-5,71%","-3,42%","2,41%","-0,40%","9,42%","-0,69%","2,00%"
11/01/20,"27,36%","25,32%","19,59%","18,68%","13,78%","7,18%","20,88%","17,41%","15,18%","-3,03%","17,65%","29,51%","0,00%","10,02%","12,12%","14,75%","2,00%"
12/01/20,"12,94%","11,44%","10,21%","11,05%","11,28%","-3,18%","14,22%","2,18%","10,32%","2,91%","-2,58%","8,86%","16,60%","9,32%","3,55%","9,14%","2,00%"
01/01/21,"-6,00%","0,57%","-10,98%","-9,26%","-3,51%","-0,48%","-6,09%","2,17%","-10,04%","10,10%","-4,87%","-0,68%","-24,54%","-13,80%","5,82%","-2,80%","2,00%"
02/01/21,"-18,24%","7,20%","-10,36%","-7,29%","-7,49%","-7,02%","-13,58%","6,56%","-6,42%","-7,10%","-12,33%","33,03%","12,19%","-10,83%","16,48%","-5,29%","2,00%"
03/01/21,"8,03%","3,58%","9,05%","15,18%","8,67%","7,58%","8,57%","15,93%","3,65%","-4,57%","14,99%","13,59%","5,58%","19,65%","-6,52%","5,82%","2,75%"
